CCAA Codigo ISO,Fecha,Casos ,Hospitalizados,UCI,Fallecidos,Recuperados
PV,21/03/2020,2097,988,81,97,216
RI,21/03/2020,654,134,17,18,18
AN,22/03/2020,1961,865,77,58,50
AR,22/03/2020,638,298,52,32,30
AS,22/03/2020,594,194,22,12,21
IB,22/03/2020,400,87,27,10,18
CN,22/03/2020,481,172,32,11,7
CB,22/03/2020,347,157,14,6,11
CM,22/03/2020,2078,1547,142,145,51
CL,22/03/2020,2055,860,120,102,117
CT,22/03/2020,5925,1681,551,245,644
CE,22/03/2020,6,0,0,0,0
VC,22/03/2020,1901,702,138,94,36
EX,22/03/2020,493,131,13,18,6
GA,22/03/2020,1208,270,47,18,19
MD,22/03/2020,10575,9561,942,1263,2063
ME,22/03/2020,28,12,1,0,0
MC,22/03/2020,345,80,23,2,1
NC,22/03/2020,886,339,40,24,7
PV,22/03/2020,2421,1252,92,120,283
RI,22/03/2020,747,166,22,22,18
AN,23/03/2020,2471,1132,102,87,66
AR,23/03/2020,758,384,66,37,3
AS,23/03/2020,662,224,23,22,30
IB,23/03/2020,478,127,35,10,19
CN,23/03/2020,557,207,36,16,8
CB,23/03/2020,425,200,16,9,12
CM,23/03/2020,2465,1826,182,216,53
CL,23/03/2020,2460,1057,137,124,140
CT,23/03/2020,7864,3599,551,282,728
CE,23/03/2020,6,0,0,0,0
VC,23/03/2020,2167,917,161,115,37
EX,23/03/2020,636,161,20,26,8
GA,23/03/2020,1415,338,55,20,19
MD,23/03/2020,12352,10443,1050,1535,2291
ME,23/03/2020,28,12,1,0,0
MC,23/03/2020,385,99,26,3,1
NC,23/03/2020,1014,405,45,31,11
PV,23/03/2020,2728,1425,106,133,344
RI,23/03/2020,802,206,24,30,24
AN,24/03/2020,3010,1433,116,113,71
AR,24/03/2020,907,459,75,40,4
AS,24/03/2020,779,263,29,25,35
IB,24/03/2020,562,164,40,13,28
CN,24/03/2020,657,235,43,21,15
CB,24/03/2020,510,241,18,14,12
CM,24/03/2020,2780,2162,210,263,71
CL,24/03/2020,2940,1244,170,165,213
CT,24/03/2020,9937,5434,781,516,1274
CE,24/03/2020,9,2,1,0,0
VC,24/03/2020,2616,1071,198,143,44
EX,24/03/2020,742,209,28,39,8
GA,24/03/2020,1653,412,69,27,25
MD,24/03/2020,14597,11153,1150,1825,3031
ME,24/03/2020,38,14,2,0,0
MC,24/03/2020,477,127,33,5,4
NC,24/03/2020,1197,506,51,33,23
PV,24/03/2020,3271,1577,119,155,466
RI,24/03/2020,928,254,33,37,43
AN,25/03/2020,3406,1626,134,134,77
AR,25/03/2020,1116,562,93,48,4
AS,25/03/2020,841,300,34,27,40
IB,25/03/2020,660,205,43,17,39
CN,25/03/2020,784,279,45,24,18
CB,25/03/2020,671,300,26,17,14
CM,25/03/2020,3383,2162,243,316,95
CL,25/03/2020,3488,1515,202,206,308
CT,25/03/2020,11592,7439,1021,672,1697
CE,25/03/2020,10,2,2,0,0
VC,25/03/2020,3200,1278,230,167,57
EX,25/03/2020,969,241,34,58,24
GA,25/03/2020,1915,503,86,32,47
MD,25/03/2020,17166,12440,1221,2090,3882
ME,25/03/2020,39,16,2,1,0
MC,25/03/2020,596,172,36,8,9
NC,25/03/2020,1411,649,54,49,35
PV,25/03/2020,3946,1907,137,180,621
RI,25/03/2020,995,316,36,43,48
AN,26/03/2020,3793,1843,148,144,92
AR,26/03/2020,1338,693,114,58,8
AS,26/03/2020,900,339,47,29,52
IB,26/03/2020,755,237,46,22,67
CN,26/03/2020,878,328,61,27,20
CB,26/03/2020,810,355,29,21,19
CM,26/03/2020,3934,2707,273,367,153
CL,26/03/2020,4132,1791,228,252,423
CT,26/03/2020,12940,8545,1187,880,2348
CE,26/03/2020,17,2,2,0,0
VC,26/03/2020,3532,1422,252,198,73
EX,26/03/2020,1231,277,41,69,33
GA,26/03/2020,2322,557,98,43,67
MD,26/03/2020,19243,13580,1312,2412,5044
ME,26/03/2020,42,18,2,1,0
MC,26/03/2020,714,209,53,15,12
NC,26/03/2020,1641,732,75,58,70
PV,26/03/2020,4601,2270,154,207,814
RI,26/03/2020,1236,388,43,55,62
AN,27/03/2020,4277,2106,172,175,139
AR,27/03/2020,1592,835,124,93,8
AS,27/03/2020,1004,408,50,33,65
IB,27/03/2020,862,283,59,26,80
CN,27/03/2020,1025,377,68,36,25
CB,27/03/2020,937,406,37,22,21
CM,27/03/2020,4512,2977,289,448,197
CL,27/03/2020,4791,2063,249,321,585
CT,27/03/2020,14263,9900,1324,1070,3106
CE,27/03/2020,17,2,2,1,0
VC,27/03/2020,4034,1694,282,234,92
EX,27/03/2020,1394,312,40,88,49
GA,27/03/2020,2772,906,112,47,95
MD,27/03/2020,21520,14211,1404,2757,6326
ME,27/03/2020,45,22,2,1,0
MC,27/03/2020,802,231,58,17,12
NC,27/03/2020,1829,827,84,70,98
PV,27/03/2020,5136,2612,176,241,1023
RI,27/03/2020,1436,458,43,65,364
AN,28/03/2020,4682,2294,201,207,148
AR,28/03/2020,1858,835,124,104,8
AS,28/03/2020,1088,466,57,41,76
IB,28/03/2020,958,345,71,29,82
CN,28/03/2020,1125,425,78,39,30
CB,28/03/2020,1023,449,40,26,24
CM,28/03/2020,5246,3018,299,539,236
CL,28/03/2020,5414,2408,278,380,752
CT,28/03/2020,15026,10688,1391,1226,3455
CE,28/03/2020,21,2,2,1,0
VC,28/03/2020,4784,1874,309,267,161
EX,28/03/2020,1456,313,41,100,51
GA,28/03/2020,3139,1043,123,60,153
MD,28/03/2020,22677,14454,1429,3082,7491
ME,28/03/2020,48,24,2,1,0
MC,28/03/2020,872,260,58,20,16
NC,28/03/2020,2011,896,90,84,125
PV,28/03/2020,5740,3106,271,265,1503
RI,28/03/2020,1629,497,43,68,397
AN,29/03/2020,5405,2671,216,236,155
AR,29/03/2020,2078,1094,156,106,174
AS,29/03/2020,1158,479,60,49,78
IB,29/03/2020,1000,353,80,37,100
CN,29/03/2020,1204,444,84,40,32
